Provider_State,_Average_Covered_Charges_
AK,40348.74333333334
AL,31316.462074277853
AR,26174.52624576681
AZ,41200.06301999299
CA,67508.61653551745
CO,41095.13611111111
CT,31318.41011437096
DC,40116.663658008656
DE,27071.69964467005
FL,46016.23358673241
GA,31096.932842190017
HI,32174.74807692308
IA,24168.74204152249
ID,25565.547041742288
IL,36061.849878619294
IN,28144.712544600938
KS,31580.253663003663
KY,24523.80716940229
LA,33085.37279154278
MA,20534.006712649665
MD,13377.803789789788
ME,20394.95756756757
MI,24124.24720981731
MN,27894.361820603906
MO,31184.62290219266
MS,30292.785203319505
MT,22670.01523715415
NC,25140.95216226939
ND,21636.883459715642
NE,31736.427824858758
NH,27059.02080194411
NJ,66125.68627434727
NM,30011.406499454744
NV,61047.11541597338
NY,31435.685542601877
OH,28344.218546776952
OK,29587.575265873016
OR,27390.111870669745
PA,39633.95976294208
RI,29942.701122448983
SC,35862.494562697575
SD,29609.99154320988
TN,29279.93183541267
TX,41480.19340357384
UT,25092.806871584697
VA,29222.000487072946
VT,20074.958333333332
WA,34714.23407487401
WI,26149.32533168666
WV,19191.50863436123
WY,28700.598623481783
